Actor/Actress	Movie	Year
BACON, KEVIN (I)	SLEEPERS	1996
BACON, KEVIN (I)	X-MEN: FIRST CLASS	2011
FASSBENDER, MICHAEL	X-MEN: FIRST CLASS	2011
FASSBENDER, MICHAEL	X-MEN: APOCALYPSE	2016
FISHER, CARRIE	STAR WARS: THE LAST JEDI	2017
ISAAC, OSCAR	STAR WARS: THE LAST JEDI	2017
ISAAC, OSCAR	X-MEN: APOCALYPSE	2016
JACKSON, SAMUEL L.	STAR WARS: EPISODE III - REVENGE OF THE SITH	2005
JACKSON, SAMUEL L.	DIE HARD: WITH A VENGEANCE	1995
JACKSON, SAMUEL L.	SNAKES ON A PLANE	2006
JACKSON, SAMUEL L.	INGLOURIOUS BASTERDS	2009
JACKSON, SAMUEL L.	UNBREAKABLE	2000
LAWRENCE, JENNIFER	X-MEN: FIRST CLASS	2011
LAWRENCE, JENNIFER	X-MEN: APOCALYPSE	2016
PITT, BRAD	SLEEPERS	1996
PITT, BRAD	TWELVE MONKEYS	1995
WILLIS, BRUCE	TWELVE MONKEYS	1995
WILLIS, BRUCE	DIE HARD: WITH A VENGEANCE	1995
WILLIS, BRUCE	UNBREAKABLE	2000
